Date,Station,count,Lat,Long
2021-06-04 00:00:00,Grove Road Totem,14,53.3296435,-6.2701778
2021-06-04 00:00:00,North Strand Rd N/B,11,53.35853,-6.24134
2021-06-04 00:00:00,North Strand Rd S/B,1,53.35846619,-6.241417032
2021-06-04 01:00:00,Charleville Mall,1,53.35694847,-6.245350215
2021-06-04 01:00:00,Grove Road Totem,8,53.3296435,-6.2701778
2021-06-04 01:00:00,North Strand Rd N/B,5,53.35853,-6.24134
2021-06-04 01:00:00,North Strand Rd S/B,2,53.35846619,-6.241417032
2021-06-04 02:00:00,Charleville Mall,1,53.35694847,-6.245350215
2021-06-04 02:00:00,Grove Road Totem,5,53.3296435,-6.2701778
2021-06-04 02:00:00,North Strand Rd N/B,6,53.35853,-6.24134
2021-06-04 02:00:00,North Strand Rd S/B,3,53.35846619,-6.241417032
2021-06-04 03:00:00,Charleville Mall,0,53.35694847,-6.245350215
2021-06-04 03:00:00,Grove Road Totem,8,53.3296435,-6.2701778
2021-06-04 03:00:00,North Strand Rd N/B,0,53.35853,-6.24134
2021-06-04 03:00:00,North Strand Rd S/B,1,53.35846619,-6.241417032
2021-06-04 04:00:00,Charleville Mall,1,53.35694847,-6.245350215
2021-06-04 04:00:00,Grove Road Totem,9,53.3296435,-6.2701778
2021-06-04 04:00:00,North Strand Rd N/B,4,53.35853,-6.24134
2021-06-04 04:00:00,North Strand Rd S/B,4,53.35846619,-6.241417032
2021-06-04 05:00:00,Charleville Mall,4,53.35694847,-6.245350215
2021-06-04 05:00:00,Grove Road Totem,34,53.3296435,-6.2701778
2021-06-04 05:00:00,North Strand Rd N/B,2,53.35853,-6.24134
2021-06-04 05:00:00,North Strand Rd S/B,22,53.35846619,-6.241417032
2021-06-04 06:00:00,Charleville Mall,14,53.35694847,-6.245350215
2021-06-04 06:00:00,Grove Road Totem,98,53.3296435,-6.2701778
2021-06-04 06:00:00,North Strand Rd N/B,18,53.35853,-6.24134
2021-06-04 06:00:00,North Strand Rd S/B,78,53.35846619,-6.241417032
2021-06-04 07:00:00,Charleville Mall,13,53.35694847,-6.245350215
2021-06-04 07:00:00,Grove Road Totem,215,53.3296435,-6.2701778
2021-06-04 07:00:00,North Strand Rd N/B,35,53.35853,-6.24134
2021-06-04 07:00:00,North Strand Rd S/B,106,53.35846619,-6.241417032
2021-06-04 08:00:00,Charleville Mall,31,53.35694847,-6.245350215
2021-06-04 08:00:00,Grove Road Totem,256,53.3296435,-6.2701778
2021-06-04 08:00:00,North Strand Rd N/B,31,53.35853,-6.24134
2021-06-04 08:00:00,North Strand Rd S/B,128,53.35846619,-6.241417032
2021-06-04 09:00:00,Charleville Mall,16,53.35694847,-6.245350215
2021-06-04 09:00:00,Grove Road Totem,169,53.3296435,-6.2701778
2021-06-04 09:00:00,North Strand Rd N/B,30,53.35853,-6.24134
2021-06-04 09:00:00,North Strand Rd S/B,109,53.35846619,-6.241417032
2021-06-04 10:00:00,Charleville Mall,6,53.35694847,-6.245350215
2021-06-04 10:00:00,Grove Road Totem,107,53.3296435,-6.2701778
2021-06-04 10:00:00,North Strand Rd N/B,33,53.35853,-6.24134
2021-06-04 10:00:00,North Strand Rd S/B,49,53.35846619,-6.241417032
2021-06-04 11:00:00,Charleville Mall,13,53.35694847,-6.245350215
2021-06-04 11:00:00,Grove Road Totem,113,53.3296435,-6.2701778
2021-06-04 11:00:00,North Strand Rd N/B,38,53.35853,-6.24134
2021-06-04 11:00:00,North Strand Rd S/B,46,53.35846619,-6.241417032
2021-06-04 12:00:00,Charleville Mall,15,53.35694847,-6.245350215
2021-06-04 12:00:00,Grove Road Totem,160,53.3296435,-6.2701778
2021-06-04 12:00:00,North Strand Rd N/B,64,53.35853,-6.24134
2021-06-04 12:00:00,North Strand Rd S/B,73,53.35846619,-6.241417032
2021-06-04 13:00:00,Charleville Mall,14,53.35694847,-6.245350215
2021-06-04 13:00:00,Grove Road Totem,178,53.3296435,-6.2701778
2021-06-04 13:00:00,North Strand Rd N/B,103,53.35853,-6.24134
2021-06-04 13:00:00,North Strand Rd S/B,61,53.35846619,-6.241417032
2021-06-04 14:00:00,Charleville Mall,14,53.35694847,-6.245350215
2021-06-04 14:00:00,Grove Road Totem,177,53.3296435,-6.2701778
2021-06-04 14:00:00,North Strand Rd N/B,91,53.35853,-6.24134
2021-06-04 14:00:00,North Strand Rd S/B,61,53.35846619,-6.241417032
2021-06-04 15:00:00,Charleville Mall,13,53.35694847,-6.245350215
2021-06-04 15:00:00,Grove Road Totem,189,53.3296435,-6.2701778
2021-06-04 15:00:00,North Strand Rd N/B,101,53.35853,-6.24134
2021-06-04 15:00:00,North Strand Rd S/B,60,53.35846619,-6.241417032
2021-06-04 16:00:00,Charleville Mall,25,53.35694847,-6.245350215
2021-06-04 16:00:00,Grove Road Totem,215,53.3296435,-6.2701778
2021-06-04 16:00:00,North Strand Rd N/B,119,53.35853,-6.24134
2021-06-04 16:00:00,North Strand Rd S/B,63,53.35846619,-6.241417032
2021-06-04 17:00:00,Charleville Mall,26,53.35694847,-6.245350215
